Member,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
,,MFN,non-MFN,MFN,non-MFN,MFN,non-MFN,MFN,non-MFN,MFN,non-MFN,MFN,non-MFN,MFN,non-MFN,MFN,non-MFN,MFN,non-MFN,MFN,non-MFN
Afghanistan,Tariff,-a,,-a,,-a,,-a,,-a,,-a,,,,,,,,,
,Imports,-a,,-a,,-a,,-a,,-a,,-a,,,,,,n.a.,,n.a.,
Albania,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,4,Yes,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Angola,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes*,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Antigua and Barbuda,Tariff,Yes,,Yes,,Yes,1,Yes,1,Yes,2,Yes,2,Yes,2,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes*,,,,n.a.,,n.a.,
Argentina,Tariff,Yes,,Yes,,Yes,24,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
Armenia,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,5,Yes,4,,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,n.a.,,n.a.,
Australia,Tariff,Yes,19,Yes,20,Yes,23,Yes,23,Yes,24,Yes,25,Yes,27,Yes,27,Yes,27,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,
"Bahrain, Kingdom of",Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,5,Yes,5,,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,n.a.,,n.a.,
Bangladesh,Tariff,Yes,2,Yes,2,Yes,,Yes,,,,,,Yes,4,,,Yes,,,
,Imports,Yes,,Yes,,,,,,,,,,,,,,n.a.,,n.a.,
Barbados,Tariff,Yes,,Yes,,Yes,1,Yes,1,Yes,1,,,,,,,,,,
,Imports,Yes,,Yes,,Yes,,,,,,,,,,,,n.a.,,n.a.,
Belize,Tariff,Yes,2,Yes,,Yes,1,Yes,1,Yes,5,Yes,2,Yes,2,Yes,3,Yes,3,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Benin,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes*,,n.a.,,n.a.,
"Bolivia, Plurinational State of",Tariff,Yes,9,Yes,9,Yes,10,Yes,,Yes,,Yes,6,Yes,6,Yes,6,Yes,6,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Botswana,Tariff,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,,,,,Yes,5
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,,,n.a.,,n.a.,
Brazil,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Brunei Darussalam,Tariff,Yes,,Yes,8,Yes,7,Yes,7,Yes,6,Yes,7,Yes,7,Yes,,Yes,,Yes*,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Burkina Faso,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,,n.a.,
Burundi,Tariff,Yes,2,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,Yes,,,,,,Yes,,Yes,,Yes,,Yes*,,Yes*,,n.a.,,n.a.,
Cabo Verde,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes*,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes*,,n.a.,
Cambodia,Tariff,Yes,,Yes,,Yes,,,,Yes,6,,,Yes,,Yes,,,,,
,Imports,Yes,,Yes,,,,,,,,,,,,,,n.a.,,n.a.,
Cameroon,Tariff,Yes,1,Yes,1,Yes,,Yes,1,Yes,1,,,,,,,,,Yes*,
,Imports,Yes,,Yes,,Yes,,Yes*,,Yes,,Yes*,,Yes*,,Yes*,,Yes*,,n.a.,
Canada,Tariff,Yes,15,Yes,16,Yes,16,Yes,18,Yes,18,Yes,20,Yes,20,Yes,20,Yes,22,Yes,23
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,
Central African Republic,Tariff,Yes,1,Yes,1,Yes,,Yes,1,,,Yes,1,Yes,1,,,,,,
,Imports,Yes,,,,,,,,,,,,,,,,n.a.,,n.a.,
Chad,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,,,Yes,1,Yes,1,,,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes,,Yes,,,,n.a.,,n.a.,
Chile,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,n.a.,,n.a.,
China,Tariff,Yes,1,Yes,24,Yes,,Yes,,Yes,,Yes,,Yes,3,Yes,18,,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Colombia,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,
Congo,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*,,,,,,,,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Costa Rica,Tariff,Yes,10,Yes,11,Yes,12,Yes,12,Yes,16,Yes,18,Yes,19,Yes,20,Yes,22,Yes,22
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
C?te d'Ivoire,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes*,,Yes*,,n.a.,,n.a.,
Cuba,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Democratic Republic of the Congo,Tariff,Yes,,,,,,,,Yes,,Yes,,Yes,,,,,,,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Djibouti,Tariff,,,Yes,,Yes,,Yes*,,Yes,,,,,,,,,,,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Dominica,Tariff,Yes,,Yes,,Yes,1,Yes,1,Yes,2,Yes,1,Yes,2,,,,,,
